title,categories/keyword,author_tags,title_tfidf
stability enhancement mulberryextracted anthocyanin using alginatechitosan microencapsulation food supplement applicationarticleopen access,artificial cell nanomedicine biotechnology,alginate anthocyanin chitosan controlled release encapsulation microcarrier alginate biochemistry calcium chitosan chlorine compound encapsulation gelation plant botany sodium alginate alginate solution calcium alginate bead chitosan solution controlled release encapsulation efficiency gastric condition microcarriers stability enhancement anthocyanins alginic acid anthocyanin calcium alginate calcium chloride chitosan mulberry extract alginic acid anthocyanin chitosan glucuronic acid hexuronic acid plant extract article controlled drug release dietary supplement drug bioavailability drug stability gelation intestine fluid microencapsulation microtechnology mulberry nonhuman ph spray drying static electricity stomach juice chemistry microcapsule morus alginates anthocyanins capsule chitosan dietary supplement glucuronic acid hexuronic acid morus plant extract,[0. 0. 0. ... 0. 0. 0.]
nuclear modification factor dmesons pbpb collision snntevarticleopen access,physic letter section b nuclear elementary particle highenergy physic,dmeson open heavyflavour physic quark gluon plasma shadowing suppression,[0. 0. 0. ... 0. 0. 0.]
integrated genomewide alu methylation transcriptome profiling analysis reveal novel epigenetic regulatory network associated autism spectrum disorderarticleopen access,molecular autism,alu element autism spectrum disorder dna methylation epigenetic regulation gene expression profile lymphoblastoid cell line neuroinflammation retrotransposon sex bias subgrouping interleukin transcriptome transcriptome adolescent alu sequence article autism biological function child clinical article controlled study disease classification dna methylation epigenetics female gene expression level gene expression profiling gene insertion gene regulatory network genetic association genetic database genetic difference genetic disorder human human cell lymphoblastoid cell line male mental disease neurology phenotype polymerase chain reaction priority journal real time polymerase chain reaction reproducibility restriction mapping school child signal transduction autism case control study cell culture genetic epigenesis genetics human genome alu element autism spectrum disorder casecontrol study cell cultured dna methylation epigenesis genetic female gene regulatory network genome human human male transcriptome,[0. 0. 0. ... 0. 0. 0.]
enhancement uranium recovery seawater using amidoximated polymer gel synthesized radiationpolymerization crosslinking acrylonitrile methacrylic acid monomersarticle,journal environmental chemical engineering,amidoxime functional group crosslink agent gamma ray seawater uranium recovery gamma ray monomer polymerization recovery seawater uranium adsorption capacity amidoximated polymer amidoxime crosslink agent environmental remediation methacrylic acid monomer methylene bisacrylamide radiation polymerization crosslinking,[0. 0. 0. ... 0. 0. 0.]
predicting present revisited case thailandarticle,thailand world economy,google trend nowcasting,[0. 0. 0. ... 0. 0. 0.]
metabolic variation pulp two durian cultivar unraveling metabolite contribute flavorarticle,food chemistry,alanine pubchem cid aspartate pubchem cid citrate pubchem cid cysteine pubchem cid durian durio zibethinus flavor glutamate pubchem cid glutathione glutathione pubchem cid leucine pubchem cid malate pubchem cid metabolic profiling ophthalmate pubchem cid sulfurcontaining metabolite glutamylcysteine glutamylcysteine pubchem cid amino acid biomolecules capillary electrophoresis cultivation flavor fruit metabolism odor peptide plant botany durian durio zibethinus glutamylcysteine glutathiones metabolic profiling pubchem metabolite antioxidant carboxylic acid gamma glutamylcysteine flavoring agent article capillary electrophoresismass spectrometry cultivar durio zibethinus flavor fruit structure fruit ripening harvest metabolism metabolite metabolome nutritional value odor orchard pulp separation technique taste thailand time flight mass spectrometry fruit malvaceae metabolism metabolomics taste bombacaceae flavoring agent fruit metabolomics taste thailand,[0. 0. 0. ... 0. 0. 0.]
performance olsr manet adopting crosslayer approach cbr vbr traffic environmentarticleopen access,international journal computer network communication,bit error rate ber mobile adhoc network manet olsr quality service qos weighted connectivity index,[0. 0. 0. ... 0. 0. 0.]
role sodium dodecyl sulfate tetrahydrofuranassisted methane hydrate formationarticleopen access,journal oleo science,hydrate methane sodium dodecyl sulfate storage tetrahydrofuran energy storage gas hydrate hydrate hydration methane natural gas organic solvent sulfur compound hydrate formation methane consumption methane hydrate natural gas storage quiescent condition tetrahydrofuran tetrahydrofurans sodium dodecyl sulfate dodecyl sulfate sodium furan derivative methane tetrahydrofuran chemistry cold crystallization hydrogen bond oil industry procedure cold temperature crystallization furan hydrogen bonding methane oil gas industry sodium dodecyl sulfate,[0. 0. 0. ... 0. 0. 0.]
ultrasound evaluation arterial anastomosis foreheadarticle,journal cosmetic dermatology,arterial anastomosis filler injection forehead artery ocular complication adult arterial embolization artery artery anastomosis artery catheterization artery compression artery injury article blindness echography female forehead human human experiment male middle aged normal human ophthalmic artery priority journal risk assessment superficial temporal artery supraorbital artery supratrochlear artery volunteer young adult anatomy histology color doppler flowmetry diagnostic imaging forehead vascularization adult artery female forehead human male middle aged ophthalmic artery ultrasonography doppler color young adult,[0. 0. 0. ... 0. 0. 0.]
efficacy safety lowdose prophylaxis highly purified plasmaderived factor viii concentrate produced national blood centre thai red cross societyletter,haemophilia,blood clotting factor blood clotting factor concentrate blood clotting factor hemostatic agent plasma protein adolescent adult analgesia child clinical article disease severity drug efficacy drug manufacture drug safety drug synthesis dyspnea fever health care organization hemophilia human injury letter low drug dose multicenter study plasma prescription priority journal prophylaxis quality control quality life treatment duration young adult bleeding clinical trial complication dose calculation female follow half life time health care quality male metabolism red cross thailand adolescent adult blood protein drug dosage calculation factor viii female followup study halflife hemophilia hemorrhage hemostatics human male quality control red cross standard care thailand young adult,[0. 0. 0. ... 0. 0. 0.]
